dataset,k,dimension,trajectoryNumber,heightnew,nodecounts,leafnodes,depthmean,depthsd,radiusmean,radiussd,pointsmean,pointssd,disfathermean,disfathersd,height,leafnode,radiusMean,radiusSD,fastest,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,slowest
Bigcross,10,57,1162000,1.6666666,4.73292599,1.5777,1.1698,0.1415,0.020292134,0.007258226,0.6339,0.275,0.0136,0.0092,1.6666666,1.5843,0.02029533,0.00732616,13,14,7,9,10,3,4,15,8,2,12,1,11,0,6,5
Bigcross,100,57,1162000,1.6666666,4.73292599,1.5777,1.1698,0.1415,0.020292134,0.007258226,0.6339,0.275,0.0136,0.0092,1.6666666,1.5843,0.02029533,0.00732616,14,10,9,7,8,12,2,3,4,11,1,6,15,13,0,5
Bigcross,1000,57,1162000,1.6666666,4.73292599,1.5777,1.1698,0.1415,0.020292134,0.007258226,0.6339,0.275,0.0136,0.0092,1.6666666,1.5843,0.02029533,0.00732616,14,10,9,7,8,12,2,4,11,1,6,3,13,0,15,5
Bigcross,10,10,1000,2.0,4.53,1.53,1.3373,0.3486,0.062839208,0.023070092,0.6536,0.2072,0.0318,0.0168,2.0,1.56,0.06267736,0.02315712,3,2,0,6,1,7,10,9,11,4,8,12,13,14,5,15
Bigcross,100,10,1000,2.0,4.53,1.53,1.3373,0.3486,0.062839208,0.023070092,0.6536,0.2072,0.0318,0.0168,2.0,1.56,0.06267736,0.02315712,6,14,7,3,8,9,2,13,0,4,15,10,1,11,12,5
Bigcross,1000,10,1000,2.0,4.53,1.53,1.3373,0.3486,0.062839208,0.023070092,0.6536,0.2072,0.0318,0.0168,2.0,1.56,0.06267736,0.02315712,6,10,7,8,9,14,15,13,5,0,4,2,1,3,12,11
Bigcross,10,10,10000,1.75,4.782,1.5959999999999999,1.2477,0.209,0.049228361,0.020897759,0.6266,0.2317,0.0266,0.0188,1.75,1.5659999999999998,0.0496353,0.02054328,0,14,3,1,2,11,10,9,7,4,8,6,13,12,15,5
Bigcross,100,10,10000,1.75,4.782,1.5959999999999999,1.2477,0.209,0.049228361,0.020897759,0.6266,0.2317,0.0266,0.0188,1.75,1.5659999999999998,0.0496353,0.02054328,14,7,10,9,8,6,3,2,12,13,0,11,4,1,15,5
Bigcross,1000,10,10000,1.75,4.782,1.5959999999999999,1.2477,0.209,0.049228361,0.020897759,0.6266,0.2317,0.0266,0.0188,1.75,1.5659999999999998,0.0496353,0.02054328,14,7,9,8,6,10,13,2,0,4,12,1,15,11,3,5
Bigcross,10,10,100000,1.6363636000000001,4.6542,1.5516,1.2324,0.154,0.027266653,0.009204637,0.6445,0.2174,0.0136,0.0079,1.6363636000000001,1.5426,0.02724081,0.00897551,3,14,2,0,10,13,1,7,11,9,4,8,6,15,12,5
Bigcross,100,10,100000,1.6363636000000001,4.6542,1.5516,1.2324,0.154,0.027266653,0.009204637,0.6445,0.2174,0.0136,0.0079,1.6363636000000001,1.5426,0.02724081,0.00897551,7,14,10,9,8,6,3,12,2,13,0,4,11,15,1,5
Bigcross,1000,10,100000,1.6363636000000001,4.6542,1.5516,1.2324,0.154,0.027266653,0.009204637,0.6445,0.2174,0.0136,0.0079,1.6363636000000001,1.5426,0.02724081,0.00897551,7,14,10,9,8,6,12,13,2,0,4,1,11,15,3,5
Bigcross,10,10,1000000,1.6,4.59849,1.5328,1.1375,0.1179,0.01856563,0.005548561,0.6524,0.2556,0.0096,0.0056,1.5333333,1.5262,0.01863884,0.00554861,3,2,14,13,0,1,7,10,11,4,9,8,15,12,6,5
Bigcross,100,10,1000000,1.6,4.59849,1.5328,1.1375,0.1179,0.01856563,0.005548561,0.6524,0.2556,0.0096,0.0056,1.5333333,1.5262,0.01863884,0.00554861,7,10,14,9,8,6,3,12,2,0,13,4,11,1,15,5
Bigcross,1000,10,1000000,1.6,4.59849,1.5328,1.1375,0.1179,0.01856563,0.005548561,0.6524,0.2556,0.0096,0.0056,1.5333333,1.5262,0.01863884,0.00554861,10,7,14,9,8,6,12,0,13,2,4,11,1,15,3,5
Bigcross,10,20,1000,2.0,4.17,1.41,1.383,0.4284,0.105108726,0.063511663,0.7092,0.4096,0.0667,0.0513,2.0,1.44,0.10370627,0.06446579,2,3,7,9,0,10,6,1,4,11,8,12,14,13,5,15
Bigcross,100,20,1000,2.0,4.17,1.41,1.383,0.4284,0.105108726,0.063511663,0.7092,0.4096,0.0667,0.0513,2.0,1.44,0.10370627,0.06446579,14,7,9,8,6,3,13,2,15,4,1,12,0,11,10,5
Bigcross,1000,20,1000,2.0,4.17,1.41,1.383,0.4284,0.105108726,0.063511663,0.7092,0.4096,0.0667,0.0513,2.0,1.44,0.10370627,0.06446579,6,13,7,8,9,10,15,14,5,2,4,0,3,1,12,11
Bigcross,10,20,10000,1.625,4.611000000000001,1.5390000000000001,1.2108,0.1747,0.070700515,0.029260051000000002,0.6498,0.2134,0.0392,0.0237,1.625,1.575,0.07067907,0.02966207,14,3,2,1,7,0,10,9,11,4,8,13,6,12,15,5
Bigcross,100,20,10000,1.625,4.611000000000001,1.5390000000000001,1.2108,0.1747,0.070700515,0.029260051000000002,0.6498,0.2134,0.0392,0.0237,1.625,1.575,0.07067907,0.02966207,7,14,9,10,8,2,6,3,12,11,4,1,13,0,15,5
Bigcross,1000,20,10000,1.625,4.611000000000001,1.5390000000000001,1.2108,0.1747,0.070700515,0.029260051000000002,0.6498,0.2134,0.0392,0.0237,1.625,1.575,0.07067907,0.02966207,14,7,9,8,10,2,6,13,4,12,1,0,15,11,3,5
Bigcross,10,20,100000,1.7272726999999999,4.6389,1.5465,1.2266,0.1644,0.041406806000000004,0.010780091,0.6466,0.2294,0.0211,0.0106,1.7272726999999999,1.5399,0.04159334,0.0109711,14,13,3,7,2,10,9,11,8,1,4,12,15,0,6,5
Bigcross,100,20,100000,1.7272726999999999,4.6389,1.5465,1.2266,0.1644,0.041406806000000004,0.010780091,0.6466,0.2294,0.0211,0.0106,1.7272726999999999,1.5399,0.04159334,0.0109711,7,10,9,14,8,3,12,2,6,11,13,4,1,0,15,5
Bigcross,1000,20,100000,1.7272726999999999,4.6389,1.5465,1.2266,0.1644,0.041406806000000004,0.010780091,0.6466,0.2294,0.0211,0.0106,1.7272726999999999,1.5399,0.04159334,0.0109711,7,14,10,9,8,12,2,6,13,1,0,4,11,15,3,5
Bigcross,10,20,1000000,1.6666666,4.59516,1.5317,1.1441,0.1348,0.022058535,0.007567287,0.6529,0.3182,0.0143,0.0096,1.6,1.5324,0.02205995,0.00752663,13,14,2,3,7,1,10,9,4,0,15,11,8,12,6,5
Bigcross,100,20,1000000,1.6666666,4.59516,1.5317,1.1441,0.1348,0.022058535,0.007567287,0.6529,0.3182,0.0143,0.0096,1.6,1.5324,0.02205995,0.00752663,14,7,10,9,8,3,12,2,6,13,11,4,15,0,1,5
Bigcross,1000,20,1000000,1.6666666,4.59516,1.5317,1.1441,0.1348,0.022058535,0.007567287,0.6529,0.3182,0.0143,0.0096,1.6,1.5324,0.02205995,0.00752663,10,14,7,9,8,12,2,6,0,13,1,4,11,15,3,5
Bigcross,10,30,1000,2.0,4.53,1.53,1.3569,0.3722,0.099063265,0.060093079,0.6536,0.2485,0.0616,0.055,2.2,1.38,0.10581058,0.06536331,2,7,3,1,4,14,8,0,6,10,9,11,12,13,5,15
