dataset,k,dimension,trajectoryNumber,heightnew,nodecounts,leafnodes,depthmean,depthsd,radiusmean,radiussd,pointsmean,pointssd,disfathermean,disfathersd,fastest,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,slowest
Spatial,10,3,434874,1.8461539,4.471984989,1.4907,1.2653,0.1479,0.001045965,0.000752,0.6708,0.3687,0.0007,0.0008,13,15,14,10,3,7,6,2,0,1,4,5,8,9,11,12
Spatial,50,3,434874,1.8461539,4.471984989,1.4907,1.2653,0.1479,0.001045965,0.000752,0.6708,0.3687,0.0007,0.0008,14,13,15,10,6,7,3,2,0,1,4,5,8,9,11,12
Spatial,100,3,434874,1.8461539,4.471984989,1.4907,1.2653,0.1479,0.001045965,0.000752,0.6708,0.3687,0.0007,0.0008,14,13,10,7,6,15,2,3,0,1,4,5,8,9,11,12
Spatial,200,3,434874,1.8461539,4.471984989,1.4907,1.2653,0.1479,0.001045965,0.000752,0.6708,0.3687,0.0007,0.0008,14,7,10,13,6,15,2,3,0,1,4,5,8,9,11,12
Spatial,400,3,434874,1.8461539,4.471984989,1.4907,1.2653,0.1479,0.001045965,0.000752,0.6708,0.3687,0.0007,0.0008,14,7,10,13,6,15,2,3,0,1,4,5,8,9,11,12
Spatial,600,3,434874,1.8461539,4.471984989,1.4907,1.2653,0.1479,0.001045965,0.000752,0.6708,0.3687,0.0007,0.0008,14,7,10,13,6,15,2,3,0,1,4,5,8,9,11,12
Spatial,800,3,434874,1.8461539,4.471984989,1.4907,1.2653,0.1479,0.001045965,0.000752,0.6708,0.3687,0.0007,0.0008,14,10,7,13,6,15,2,3,0,1,4,5,8,9,11,12
Spatial,1000,3,434874,1.8461539,4.471984989,1.4907,1.2653,0.1479,0.001045965,0.000752,0.6708,0.3687,0.0007,0.0008,14,7,10,13,6,2,15,3,0,1,4,5,8,9,11,12
Spatial,10,2,1000,2.0,4.89,1.65,1.3236,0.3063,0.010762513000000001,0.015093241,0.6061,0.281,0.022000000000000002,0.0282,6,13,2,3,10,7,15,14,0,1,4,5,8,9,11,12
Spatial,50,2,1000,2.0,4.89,1.65,1.3236,0.3063,0.010762513000000001,0.015093241,0.6061,0.281,0.022000000000000002,0.0282,6,3,7,14,13,2,10,15,0,1,4,5,8,9,11,12
Spatial,100,2,1000,2.0,4.89,1.65,1.3236,0.3063,0.010762513000000001,0.015093241,0.6061,0.281,0.022000000000000002,0.0282,6,14,7,3,13,10,2,15,0,1,4,5,8,9,11,12
Spatial,200,2,1000,2.0,4.89,1.65,1.3236,0.3063,0.010762513000000001,0.015093241,0.6061,0.281,0.022000000000000002,0.0282,6,7,10,3,2,13,0,1,4,5,8,9,11,12,14,15
Spatial,400,2,1000,2.0,4.89,1.65,1.3236,0.3063,0.010762513000000001,0.015093241,0.6061,0.281,0.022000000000000002,0.0282,6,7,10,2,13,3,0,1,4,5,8,9,11,12,14,15
Spatial,600,2,1000,2.0,4.89,1.65,1.3236,0.3063,0.010762513000000001,0.015093241,0.6061,0.281,0.022000000000000002,0.0282,6,14,10,7,13,15,2,3,0,1,4,5,8,9,11,12
Spatial,800,2,1000,2.0,4.89,1.65,1.3236,0.3063,0.010762513000000001,0.015093241,0.6061,0.281,0.022000000000000002,0.0282,6,10,7,14,13,2,3,15,0,1,4,5,8,9,11,12
Spatial,1000,2,1000,2.0,4.89,1.65,1.3236,0.3063,0.010762513000000001,0.015093241,0.6061,0.281,0.022000000000000002,0.0282,6,10,15,14,13,7,2,3,0,1,4,5,8,9,11,12
Spatial,10,2,5000,1.8571428,5.118,1.71,1.3489,0.2652,0.009135566999999999,0.017725916,0.5848,0.2663,0.0181,0.0324,13,14,15,3,6,2,7,10,0,1,4,5,8,9,11,12
Spatial,50,2,5000,1.8571428,5.118,1.71,1.3489,0.2652,0.009135566999999999,0.017725916,0.5848,0.2663,0.0181,0.0324,14,13,15,7,10,3,6,2,0,1,4,5,8,9,11,12
Spatial,100,2,5000,1.8571428,5.118,1.71,1.3489,0.2652,0.009135566999999999,0.017725916,0.5848,0.2663,0.0181,0.0324,7,10,2,6,13,3,0,1,4,5,8,9,11,12,14,15
Spatial,200,2,5000,1.8571428,5.118,1.71,1.3489,0.2652,0.009135566999999999,0.017725916,0.5848,0.2663,0.0181,0.0324,14,7,10,6,13,2,15,3,0,1,4,5,8,9,11,12
Spatial,400,2,5000,1.8571428,5.118,1.71,1.3489,0.2652,0.009135566999999999,0.017725916,0.5848,0.2663,0.0181,0.0324,7,6,10,13,2,3,0,1,4,5,8,9,11,12,14,15
Spatial,600,2,5000,1.8571428,5.118,1.71,1.3489,0.2652,0.009135566999999999,0.017725916,0.5848,0.2663,0.0181,0.0324,7,6,10,13,2,3,0,1,4,5,8,9,11,12,14,15
Spatial,800,2,5000,1.8571428,5.118,1.71,1.3489,0.2652,0.009135566999999999,0.017725916,0.5848,0.2663,0.0181,0.0324,6,7,10,13,2,3,0,1,4,5,8,9,11,12,14,15
Spatial,1000,2,5000,1.8571428,5.118,1.71,1.3489,0.2652,0.009135566999999999,0.017725916,0.5848,0.2663,0.0181,0.0324,6,7,10,2,13,3,0,1,4,5,8,9,11,12,14,15
Spatial,10,2,10000,1.875,5.043,1.683,1.3359999999999999,0.2443,0.006516096,0.01086356,0.5942,0.2827,0.0114,0.0237,13,6,3,14,15,7,10,2,0,1,4,5,8,9,11,12
Spatial,50,2,10000,1.875,5.043,1.683,1.3359999999999999,0.2443,0.006516096,0.01086356,0.5942,0.2827,0.0114,0.0237,13,6,14,7,10,3,2,15,0,1,4,5,8,9,11,12
Spatial,100,2,10000,1.875,5.043,1.683,1.3359999999999999,0.2443,0.006516096,0.01086356,0.5942,0.2827,0.0114,0.0237,14,13,7,6,10,15,3,2,0,1,4,5,8,9,11,12
Spatial,200,2,10000,1.875,5.043,1.683,1.3359999999999999,0.2443,0.006516096,0.01086356,0.5942,0.2827,0.0114,0.0237,14,10,7,13,6,15,2,3,0,1,4,5,8,9,11,12
Spatial,400,2,10000,1.875,5.043,1.683,1.3359999999999999,0.2443,0.006516096,0.01086356,0.5942,0.2827,0.0114,0.0237,7,10,6,13,2,3,0,1,4,5,8,9,11,12,14,15
Spatial,600,2,10000,1.875,5.043,1.683,1.3359999999999999,0.2443,0.006516096,0.01086356,0.5942,0.2827,0.0114,0.0237,7,10,6,13,2,3,0,1,4,5,8,9,11,12,14,15
Spatial,800,2,10000,1.875,5.043,1.683,1.3359999999999999,0.2443,0.006516096,0.01086356,0.5942,0.2827,0.0114,0.0237,7,6,10,13,2,3,0,1,4,5,8,9,11,12,14,15
Spatial,1000,2,10000,1.875,5.043,1.683,1.3359999999999999,0.2443,0.006516096,0.01086356,0.5942,0.2827,0.0114,0.0237,7,6,10,2,13,3,0,1,4,5,8,9,11,12,14,15
Spatial,10,2,50000,1.9,4.8408,1.614,1.2699,0.1924,0.004533667,0.004909142,0.6196,0.3279,0.0057,0.0074,13,15,14,6,2,3,7,10,0,1,4,5,8,9,11,12
Spatial,50,2,50000,1.9,4.8408,1.614,1.2699,0.1924,0.004533667,0.004909142,0.6196,0.3279,0.0057,0.0074,14,13,15,7,10,6,3,2,0,1,4,5,8,9,11,12
Spatial,100,2,50000,1.9,4.8408,1.614,1.2699,0.1924,0.004533667,0.004909142,0.6196,0.3279,0.0057,0.0074,14,13,7,10,15,6,2,3,0,1,4,5,8,9,11,12
Spatial,200,2,50000,1.9,4.8408,1.614,1.2699,0.1924,0.004533667,0.004909142,0.6196,0.3279,0.0057,0.0074,14,13,7,10,6,15,2,3,0,1,4,5,8,9,11,12
Spatial,400,2,50000,1.9,4.8408,1.614,1.2699,0.1924,0.004533667,0.004909142,0.6196,0.3279,0.0057,0.0074,14,7,10,13,6,15,2,3,0,1,4,5,8,9,11,12
Spatial,600,2,50000,1.9,4.8408,1.614,1.2699,0.1924,0.004533667,0.004909142,0.6196,0.3279,0.0057,0.0074,14,7,10,13,6,2,15,3,0,1,4,5,8,9,11,12
Spatial,800,2,50000,1.9,4.8408,1.614,1.2699,0.1924,0.004533667,0.004909142,0.6196,0.3279,0.0057,0.0074,14,7,10,6,13,2,15,3,0,1,4,5,8,9,11,12
Spatial,1000,2,50000,1.9,4.8408,1.614,1.2699,0.1924,0.004533667,0.004909142,0.6196,0.3279,0.0057,0.0074,14,7,10,13,6,2,15,3,0,1,4,5,8,9,11,12
Spatial,10,2,100000,1.9090909,4.7919,1.5975,1.2511,0.1823,0.003765079,0.003549755,0.626,0.2973,0.004,0.005,13,15,14,7,2,3,10,6,0,1,4,5,8,9,11,12
Spatial,50,2,100000,1.9090909,4.7919,1.5975,1.2511,0.1823,0.003765079,0.003549755,0.626,0.2973,0.004,0.005,13,14,15,7,10,6,3,2,0,1,4,5,8,9,11,12
Spatial,100,2,100000,1.9090909,4.7919,1.5975,1.2511,0.1823,0.003765079,0.003549755,0.626,0.2973,0.004,0.005,14,13,7,10,15,6,2,3,0,1,4,5,8,9,11,12
Spatial,200,2,100000,1.9090909,4.7919,1.5975,1.2511,0.1823,0.003765079,0.003549755,0.626,0.2973,0.004,0.005,14,13,7,10,15,6,2,3,0,1,4,5,8,9,11,12
Spatial,400,2,100000,1.9090909,4.7919,1.5975,1.2511,0.1823,0.003765079,0.003549755,0.626,0.2973,0.004,0.005,14,7,10,13,6,15,2,3,0,1,4,5,8,9,11,12
Spatial,600,2,100000,1.9090909,4.7919,1.5975,1.2511,0.1823,0.003765079,0.003549755,0.626,0.2973,0.004,0.005,14,7,10,13,6,15,2,3,0,1,4,5,8,9,11,12
Spatial,800,2,100000,1.9090909,4.7919,1.5975,1.2511,0.1823,0.003765079,0.003549755,0.626,0.2973,0.004,0.005,14,7,10,13,6,15,2,3,0,1,4,5,8,9,11,12
Spatial,1000,2,100000,1.9090909,4.7919,1.5975,1.2511,0.1823,0.003765079,0.003549755,0.626,0.2973,0.004,0.005,14,7,10,13,6,2,15,3,0,1,4,5,8,9,11,12
covtype,10,54,581000,1.6428572,4.611583477,1.5372,1.1695,0.1474,0.020277534,0.006731172,0.6505,0.2402,0.0112,0.0072,13,10,15,7,3,2,14,6,0,1,4,5,8,9,11,12
covtype,50,54,581000,1.6428572,4.611583477,1.5372,1.1695,0.1474,0.020277534,0.006731172,0.6505,0.2402,0.0112,0.0072,10,7,3,2,13,6,0,1,4,5,8,9,11,12,14,15
covtype,100,54,581000,1.6428572,4.611583477,1.5372,1.1695,0.1474,0.020277534,0.006731172,0.6505,0.2402,0.0112,0.0072,7,10,2,3,6,13,0,1,4,5,8,9,11,12,14,15
covtype,200,54,581000,1.6428572,4.611583477,1.5372,1.1695,0.1474,0.020277534,0.006731172,0.6505,0.2402,0.0112,0.0072,7,10,2,3,6,13,0,1,4,5,8,9,11,12,14,15
covtype,400,54,581000,1.6428572,4.611583477,1.5372,1.1695,0.1474,0.020277534,0.006731172,0.6505,0.2402,0.0112,0.0072,7,10,2,3,6,13,0,1,4,5,8,9,11,12,14,15
covtype,600,54,581000,1.6428572,4.611583477,1.5372,1.1695,0.1474,0.020277534,0.006731172,0.6505,0.2402,0.0112,0.0072,7,10,2,3,6,13,0,1,4,5,8,9,11,12,14,15
covtype,800,54,581000,1.6428572,4.611583477,1.5372,1.1695,0.1474,0.020277534,0.006731172,0.6505,0.2402,0.0112,0.0072,7,10,2,6,3,13,0,1,4,5,8,9,11,12,14,15
covtype,1000,54,581000,1.6428572,4.611583477,1.5372,1.1695,0.1474,0.020277534,0.006731172,0.6505,0.2402,0.0112,0.0072,7,10,2,6,13,3,0,1,4,5,8,9,11,12,14,15
covtype,10,2,1000,1.4,4.53,1.53,1.2078,0.1979,0.043145925999999994,0.020036365,0.6536,0.1492,0.0264,0.0151,2,3,6,13,7,14,10,15,0,1,4,5,8,9,11,12
covtype,50,2,1000,1.4,4.53,1.53,1.2078,0.1979,0.043145925999999994,0.020036365,0.6536,0.1492,0.0264,0.0151,6,3,13,7,10,14,2,15,0,1,4,5,8,9,11,12
covtype,100,2,1000,1.4,4.53,1.53,1.2078,0.1979,0.043145925999999994,0.020036365,0.6536,0.1492,0.0264,0.0151,6,3,13,7,14,2,10,15,0,1,4,5,8,9,11,12
covtype,200,2,1000,1.4,4.53,1.53,1.2078,0.1979,0.043145925999999994,0.020036365,0.6536,0.1492,0.0264,0.0151,6,7,10,13,3,2,0,1,4,5,8,9,11,12,14,15
covtype,400,2,1000,1.4,4.53,1.53,1.2078,0.1979,0.043145925999999994,0.020036365,0.6536,0.1492,0.0264,0.0151,6,7,10,13,2,3,0,1,4,5,8,9,11,12,14,15
covtype,600,2,1000,1.4,4.53,1.53,1.2078,0.1979,0.043145925999999994,0.020036365,0.6536,0.1492,0.0264,0.0151,6,7,10,2,13,3,0,1,4,5,8,9,11,12,14,15
covtype,800,2,1000,1.4,4.53,1.53,1.2078,0.1979,0.043145925999999994,0.020036365,0.6536,0.1492,0.0264,0.0151,6,14,10,7,15,13,2,3,0,1,4,5,8,9,11,12
covtype,1000,2,1000,1.4,4.53,1.53,1.2078,0.1979,0.043145925999999994,0.020036365,0.6536,0.1492,0.0264,0.0151,6,10,14,15,7,13,2,3,0,1,4,5,8,9,11,12
covtype,10,2,5000,1.5714285,4.524,1.5119999999999998,1.199,0.1543,0.025017388999999998,0.011779171000000001,0.6614,0.1894,0.0165,0.0087,2,3,7,13,10,6,14,15,0,1,4,5,8,9,11,12
covtype,50,2,5000,1.5714285,4.524,1.5119999999999998,1.199,0.1543,0.025017388999999998,0.011779171000000001,0.6614,0.1894,0.0165,0.0087,14,7,6,10,3,13,2,15,0,1,4,5,8,9,11,12
covtype,100,2,5000,1.5714285,4.524,1.5119999999999998,1.199,0.1543,0.025017388999999998,0.011779171000000001,0.6614,0.1894,0.0165,0.0087,6,7,14,10,2,13,3,15,0,1,4,5,8,9,11,12
covtype,200,2,5000,1.5714285,4.524,1.5119999999999998,1.199,0.1543,0.025017388999999998,0.011779171000000001,0.6614,0.1894,0.0165,0.0087,6,7,10,2,3,13,0,1,4,5,8,9,11,12,14,15
covtype,400,2,5000,1.5714285,4.524,1.5119999999999998,1.199,0.1543,0.025017388999999998,0.011779171000000001,0.6614,0.1894,0.0165,0.0087,6,14,7,10,13,2,15,3,0,1,4,5,8,9,11,12
covtype,600,2,5000,1.5714285,4.524,1.5119999999999998,1.199,0.1543,0.025017388999999998,0.011779171000000001,0.6614,0.1894,0.0165,0.0087,6,14,7,10,13,2,15,3,0,1,4,5,8,9,11,12
covtype,800,2,5000,1.5714285,4.524,1.5119999999999998,1.199,0.1543,0.025017388999999998,0.011779171000000001,0.6614,0.1894,0.0165,0.0087,6,14,7,10,13,2,15,3,0,1,4,5,8,9,11,12
covtype,1000,2,5000,1.5714285,4.524,1.5119999999999998,1.199,0.1543,0.025017388999999998,0.011779171000000001,0.6614,0.1894,0.0165,0.0087,6,7,10,14,13,2,15,3,0,1,4,5,8,9,11,12
covtype,10,2,10000,1.625,4.494,1.5,1.1798,0.1442,0.01761345,0.008781391999999999,0.6667,0.1924,0.0121,0.0076,13,14,15,2,3,10,7,6,0,1,4,5,8,9,11,12
covtype,50,2,10000,1.625,4.494,1.5,1.1798,0.1442,0.01761345,0.008781391999999999,0.6667,0.1924,0.0121,0.0076,14,10,7,13,3,2,15,6,0,1,4,5,8,9,11,12
covtype,100,2,10000,1.625,4.494,1.5,1.1798,0.1442,0.01761345,0.008781391999999999,0.6667,0.1924,0.0121,0.0076,7,14,6,10,13,2,3,15,0,1,4,5,8,9,11,12
covtype,200,2,10000,1.625,4.494,1.5,1.1798,0.1442,0.01761345,0.008781391999999999,0.6667,0.1924,0.0121,0.0076,14,10,6,7,13,2,15,3,0,1,4,5,8,9,11,12
covtype,400,2,10000,1.625,4.494,1.5,1.1798,0.1442,0.01761345,0.008781391999999999,0.6667,0.1924,0.0121,0.0076,6,14,7,10,13,2,15,3,0,1,4,5,8,9,11,12
covtype,600,2,10000,1.625,4.494,1.5,1.1798,0.1442,0.01761345,0.008781391999999999,0.6667,0.1924,0.0121,0.0076,6,14,7,10,13,2,15,3,0,1,4,5,8,9,11,12
covtype,800,2,10000,1.625,4.494,1.5,1.1798,0.1442,0.01761345,0.008781391999999999,0.6667,0.1924,0.0121,0.0076,6,14,7,10,13,2,15,3,0,1,4,5,8,9,11,12
