dataset,k,dimension,trajectoryNumber,height,leafnode,radiusMean,radiusSD,fastest,,,,,,,,,,,,,,,slowest
Bigcross,10,57,1162000,1.6666666,1.5843,0.02029533,0.00732616,13,14,7,9,10,3,4,15,8,2,12,1,11,0,6,5
Bigcross,100,57,1162000,1.6666666,1.5843,0.02029533,0.00732616,14,10,9,7,8,12,2,3,4,11,1,6,15,13,0,5
Bigcross,1000,57,1162000,1.6666666,1.5843,0.02029533,0.00732616,14,10,9,7,8,12,2,4,11,1,6,3,13,0,15,5
Bigcross,10,2,1000000,1.3333334,0.0003,0,0,15,13,14,6,3,5,0,2,11,1,7,10,8,4,12,9
Bigcross,100,2,1000000,1.3333334,0.0003,0,0,13,15,14,6,5,3,12,4,2,7,8,10,9,11,0,1
Bigcross,1000,2,1000000,1.3333334,0.0003,0,0,15,14,13,6,9,7,10,12,0,8,2,11,4,5,1,3
Bigcross,10,10,100,2,1.2,0.25280363,0.02273013,6,3,10,14,7,8,2,4,11,1,0,13,5,12,9,15
Bigcross,100,10,100,2,1.2,0.25280363,0.02273013,6,10,3,7,13,8,15,9,14,5,2,0,4,1,11,12
Bigcross,1000,10,100,2,1.2,0.25280363,0.02273013,6,14,15,10,7,8,9,3,13,0,5,4,1,12,2,11
Bigcross,10,10,1000,2,1.56,0.06267736,0.02315712,3,2,0,6,1,7,10,9,11,4,8,12,13,14,5,15
Bigcross,100,10,1000,2,1.56,0.06267736,0.02315712,6,14,7,3,8,9,2,13,0,4,15,10,1,11,12,5
Bigcross,1000,10,1000,2,1.56,0.06267736,0.02315712,6,10,7,8,9,14,15,13,5,0,4,2,1,3,12,11
Bigcross,10,10,10000,1.75,1.566,0.0496353,0.02054328,0,14,3,1,2,11,10,9,7,4,8,6,13,12,15,5
Bigcross,100,10,10000,1.75,1.566,0.0496353,0.02054328,14,7,10,9,8,6,3,2,12,13,0,11,4,1,15,5
Bigcross,1000,10,10000,1.75,1.566,0.0496353,0.02054328,14,7,9,8,6,10,13,2,0,4,12,1,15,11,3,5
Bigcross,10,10,100000,1.6363636,1.5426,0.02724081,0.00897551,3,14,2,0,10,13,1,7,11,9,4,8,6,15,12,5
Bigcross,100,10,100000,1.6363636,1.5426,0.02724081,0.00897551,7,14,10,9,8,6,3,12,2,13,0,4,11,15,1,5
Bigcross,1000,10,100000,1.6363636,1.5426,0.02724081,0.00897551,7,14,10,9,8,6,12,13,2,0,4,1,11,15,3,5
Bigcross,10,10,1000000,1.5333333,1.5262,0.01863884,0.00554861,3,2,14,13,0,1,7,10,11,4,9,8,15,12,6,5
Bigcross,100,10,1000000,1.5333333,1.5262,0.01863884,0.00554861,7,10,14,9,8,6,3,12,2,0,13,4,11,1,15,5
Bigcross,1000,10,1000000,1.5333333,1.5262,0.01863884,0.00554861,10,7,14,9,8,6,12,0,13,2,4,11,1,15,3,5
Bigcross,10,20,100,3,1.5,0.51754031,0.11860469,14,6,2,11,3,7,10,1,8,9,4,12,13,0,15,5
Bigcross,100,20,100,3,1.5,0.51754031,0.11860469,6,7,3,10,14,13,15,8,9,2,5,4,0,1,12,11
