1.98	1.73	1.86	2.08	1.83	2.97	2.74	1.14	1.72	1.49	1.25	1.96	1.64	1.21	1.32	1.06	
1.00	1.15	1.06	0.95	1.08	0.67	0.72	1.73	1.15	1.33	1.59	1.01	1.21	1.64	1.50	1.86	

1.84	1.68	1.78	2.03	1.75	2.88	2.63	1.12	1.67	1.45	1.22	1.90	1.59	1.05	1.29	0.98	
1.00	1.10	1.03	0.91	1.05	0.64	0.70	1.64	1.10	1.27	1.52	0.97	1.16	1.76	1.42	1.88	

0.14	0.05	0.08	0.05	0.07	0.08	0.11	0.02	0.04	0.05	0.03	0.06	0.05	0.16	0.03	0.08	
1.00	2.96	1.80	2.73	1.88	1.62	1.26	5.51	3.11	2.96	4.42	2.39	2.56	0.85	5.10	1.72	

20317080	5479404	5331805	15588989	4014851	31335993	18317730	5479404	5479404	2894394	5479404	5480604	2895594	4856450	3338325	3205568	
0.00	0.73	0.74	0.23	0.80	-0.54	0.10	0.73	0.73	0.86	0.73	0.73	0.86	0.76	0.84	0.84	

0	20203968	19538090	3061869	20203968	0	2031600	20203968	20203968	17619022	20203968	20203968	17619022	0	13580503	10668799	

4063200	2031600	2031600	4063200	2031600	23604411	3863373	2031600	2031600	2031600	2031600	2031600	2031600	933606	1106727	485537	

0	15342120	4063200	17789889	15342120	0	2201020	15342120	15342120	15342180	15342120	15342120	15342180	0	10334412	6201947	

0.00	15.50	2.58	5.17	15.50	1.85	1.29	15.50	15.50	19.38	15.50	16.79	20.67	1.85	19.44	19.44	

0.85	0.30	0.35	0.78	0.27	0.52	0.94	0.31	0.31	0.19	0.32	0.32	0.19	0.35	0.21	0.19	
